model,roc_auc,pr_auc,accuracy,f1,recall,precision,fpr,threshold,max_fpr_policy,tn,fp,fn,tp,fp_rate,fn_rate,feature_extraction_sec,training_sec,total_sec,metadata_path
rf,0.9990048492899587,0.9991149903015432,0.9937629444593762,0.9937345647150378,0.9892333718043983,0.9982769073678165,0.0017074828856460768,0.55,0.01,63143,108,681,62570,0.0017074828856460768,0.01076662819560165,75.4699846739968,30.49672426500183,109.73574047800503,artifacts/rf/metadata.json
rfe_xgb,0.9989618297000937,0.9991999890055856,0.9941502901139903,0.9941246526399364,0.9897867227395615,0.998500773537058,0.0014861425115808445,0.55,0.01,63157,94,646,62605,0.0014861425115808445,0.01021327726043857,60.03762610600097,30.89259439500165,94.96232611799496,artifacts/rfe_xgb/metadata.json
xgb,0.9989195653551376,0.9991601007695142,0.9941186700605524,0.994092987804878,0.9897709127128425,0.998452975231655,0.00153357259173768,0.55,0.01,63154,97,647,62604,0.00153357259173768,0.010229087287157516,62.043828955997014,47.22431568498723,112.98906953600817,artifacts/xgb/metadata.json
catboost,0.9985194122816047,0.998890456202884,0.9926325275489716,0.9925917682781425,0.9871306382507786,0.9981136599792183,0.0018655831528355284,0.55,0.01,63133,118,814,62437,0.0018655831528355284,0.012869361749221356,94.57787179300794,29.16540899199026,127.50817227699736,artifacts/catboost/metadata.json
en_knn,0.9970928001409026,0.9969566041365497,0.993075208297102,0.9930423179565383,0.9883480103081375,0.997781431056773,0.0021975937139333767,0.55,0.01,63112,139,737,62514,0.0021975937139333767,0.011651989691862579,52.18916304099548,17.60341075800534,1192.8129446800012,artifacts/en_knn/metadata.json
en_bag,0.9942632227863091,0.995609243355916,0.9868934878499944,0.9867421516416384,0.9754786485589161,0.9982688045043442,0.0016916728589271316,0.55,0.01,63144,107,1551,61700,0.0016916728589271316,0.024521351441083937,164.799028517009,361.3437382879929,539.0716124530009,artifacts/en_bag/metadata.json
