iter	Logloss
0	0.4514028043
1	0.3134614344
2	0.2293370744
3	0.1786124578
4	0.144837084
5	0.1221660285
6	0.1065525678
7	0.09574586072
8	0.08789183299
9	0.0819297265
10	0.07754988438
11	0.07390767992
12	0.07116805841
13	0.06902459443
14	0.06705172725
15	0.06442217517
16	0.06237043116
17	0.06119076435
18	0.05974017191
19	0.05807746393
20	0.05708746158
21	0.05589925989
22	0.055017425
23	0.05419798833
24	0.05300378342
25	0.05217557142
26	0.0516342898
27	0.05096126882
28	0.04979245302
29	0.04923449913
30	0.04884899312
31	0.04798900483
32	0.04721050294
33	0.04669754241
34	0.04600130602
35	0.04574047598
36	0.04545352542
37	0.04480365573
38	0.04454706673
39	0.04419658142
40	0.04378073789
41	0.043387195
42	0.04323839677
43	0.04304476562
44	0.0428517712
45	0.04267442749
46	0.04245081383
47	0.04224689624
48	0.04198995607
49	0.04179345764
50	0.04141145293
51	0.0412289594
52	0.04103547069
53	0.04073668019
54	0.04050950694
55	0.04030946805
56	0.04017209217
57	0.04001689568
58	0.03982283345
59	0.03961999742
60	0.03937575769
61	0.03925433957
62	0.03918150169
63	0.03912832373
64	0.03904010064
65	0.03883211635
66	0.03845987772
67	0.03834100205
68	0.03826466237
69	0.03757991109
70	0.03749979229
71	0.03742682776
72	0.03721231281
73	0.03715758781
74	0.03702238323
75	0.03670057651
76	0.0365845222
77	0.03648738325
78	0.03637451393
79	0.03630328069
80	0.03586808786
81	0.03572286753
82	0.03554415106
83	0.0350305498
84	0.03485636317
85	0.03459725835
86	0.03443622832
87	0.03431289982
88	0.03414642356
89	0.03405958814
90	0.03378059199
91	0.03370975178
92	0.03357783378
93	0.03344103773
94	0.03323158473
95	0.0331197013
96	0.03309187364
97	0.0329842521
98	0.03286246482
99	0.03267671781
100	0.03260492055
101	0.03254541029
102	0.03250868429
103	0.03242971511
104	0.03234281062
105	0.03226447395
106	0.03209225883
107	0.03205252465
108	0.03197176708
109	0.03183382377
110	0.03178085952
111	0.03168614173
112	0.0316280407
113	0.03150208616
114	0.03145299166
115	0.0313954453
116	0.0312156405
117	0.03111861401
118	0.03104139182
119	0.03099084296
120	0.03094817625
121	0.03089335079
122	0.0307590794
123	0.03068961812
124	0.0306406654
125	0.03053076729
126	0.03045532542
127	0.03041612074
128	0.03035849037
129	0.03031767926
130	0.03019922928
131	0.03013834977
132	0.03009256078
133	0.02996615449
134	0.02986765066
135	0.02982774831
136	0.02974487797
137	0.02964280681
138	0.02962179406
139	0.02955197292
140	0.02951328638
141	0.02946126023
142	0.02936560589
143	0.02928708087
144	0.02925446847
145	0.02921035263
146	0.0290502697
147	0.02897721148
148	0.02889477094
149	0.02884437144
150	0.02879825191
151	0.02875599613
152	0.02867218691
153	0.02864162753
154	0.02860565157
155	0.02856979692
156	0.02853722979
157	0.02846774661
158	0.02837599987
159	0.02835764397
160	0.02819137045
161	0.02816719671
162	0.02812087608
163	0.02807392805
164	0.02801547921
165	0.0279885257
166	0.02795880681
167	0.02782919469
168	0.02773345652
169	0.02770464058
170	0.02762408188
171	0.02758803722
172	0.0275556555
173	0.02751605385
174	0.02746530157
175	0.02744368943
176	0.02742847339
177	0.02741247626
178	0.02736803981
179	0.0273211407
180	0.02728306813
181	0.02723953631
182	0.02720212359
183	0.02718646185
184	0.02711098791
185	0.02706914837
186	0.02697378078
187	0.02689087171
188	0.02685738929
189	0.02683897338
190	0.02681385003
191	0.02678420838
192	0.02676062265
193	0.026703404
194	0.0266878346
195	0.02665963539
196	0.02664604491
197	0.02663893493
198	0.02660161701
199	0.02656804251
